Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020]
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Honduras,HND,3.36903717088541,3.67990978489801,4.02963397589648,4.08561074571467,4.15274339857801,4.23412686759073,4.33125906131473,4.4405145405545,4.56082731034521,4.69061765907812,4.82818952409457,4.97320085491529
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Hong Kong SAR, China",HKG,8.8484896309981,11.0134269768965,13.2394931057761,13.6509259175166,14.1453858478852,14.6666068647884,15.1863847405426,15.7519898414339,16.3064671937536,16.8750483265122,17.498252456848,18.1967648043926
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Hungary,HUN,13.4572184987054,15.0971962545498,16.3513270437201,16.5823563986627,16.8192490423201,17.1076648617016,17.4688019122261,18.0023428748664,18.5778610772262,19.1577253832321,19.6944576067002,20.1631079450426
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Iceland,ISL,10.666436640096,11.6098204575035,12.2643550949999,12.5778438332944,12.9338879600962,13.3164330450343,13.714143827424,14.0677772225667,14.4255412045109,14.7950925565689,15.192121074474,15.6220054330785
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,India,IND,3.80442512979129,4.36553666641778,5.17415315105538,5.26568850777776,5.36398293427459,5.478595608617,5.61463565853567,5.79330515007887,5.98311331737929,6.17995564947149,6.3779241556898,6.57388867644794
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Indonesia,IDN,3.77396208026571,4.69911368393166,5.04413202554593,5.11756686476095,5.19208238927228,5.2785821188884,5.38343514023989,5.52433626155731,5.68194834038824,5.85716561272863,6.05030268241321,6.26251338481323
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Iran, Islamic Rep.",IRN,3.2907140104861,4.38051027678311,5.25486200789263,5.37078971718752,5.49821022502287,5.64236178120995,5.80769188383842,5.91456896410762,6.03870523995975,6.18457380562499,6.35852205539563,6.56435458647845
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Iraq,IRQ,3.82820296303262,3.47627639180792,3.2982135243594,3.219362326341,3.14443534632906,3.10174799446855,3.1036289765219,3.15092074892343,3.23133991061807,3.32359966279505,3.39853313359679,3.44273041454691
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Ireland,IRL,11.1398977750624,10.5235834181623,11.3134637521904,11.6553368583555,12.0257909244268,12.4074206954027,12.7910713230197,13.1475948932009,13.5066550900967,13.8658017012923,14.2228307453464,14.5779505227647
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Isle of Man,IMN,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Israel,ISR,8.92586537084624,10.0292131619001,10.5342522471985,10.6661342054421,10.8359434925682,11.026757232074,11.2262846729143,11.4705601255891,11.725446660346,11.9769860249625,12.2086744136338,12.4143452715517
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Italy,ITA,14.8704773272919,18.2846617746808,20.6637723330363,20.962159134639,21.299293979756,21.6353388748348,21.9486456695341,22.2348608856856,22.4996889509015,22.7516796025077,23.0121366488811,23.3018929993944
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Jamaica,JAM,7.27106755386366,7.81263125301117,8.27851655154818,8.33040126215109,8.38975734526598,8.45040883240775,8.51073029217014,8.60067799036279,8.69333152563913,8.79664255070196,8.92239167324395,9.07777237825492
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Japan,JPN,11.8684297946014,16.9844456314612,23.158251897204,23.8779359281327,24.6255989058732,25.3497097679254,26.0193322610369,26.5918165131425,27.1094794248515,27.576369910355,28.0020492778115,28.3972730704411
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Jordan,JOR,3.19580805913811,3.05661715887167,3.64042289248668,3.65598750649261,3.67873723894038,3.71085752522641,3.75562707904485,3.78148613093642,3.81025937162491,3.84649039799834,3.89341629235651,3.95369697193039
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kazakhstan,KAZ,5.86451798648269,6.83991302121282,6.8132768407833,6.80866965843408,6.7840894080547,6.75604236700637,6.75881469718671,6.91842773396588,7.1368232522322,7.39184627103032,7.65234394098093,7.9028021260597
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kenya,KEN,2.48146447614518,2.27371522777556,1.95128689025411,1.97833651572621,2.01287210554855,2.05384768818795,2.10104001943593,2.17634987725358,2.25610560588208,2.33918661191556,2.42382670984367,2.50918631382811
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kiribati,KIR,3.40883977900552,3.29636475662354,3.53200672217554,3.52166964369653,3.52581332839003,3.54325310126062,3.55088794735419,3.69432298887349,3.82452390546436,3.95262717204589,4.08227471387514,4.21518807189679
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Korea, Dem. People's Rep.",PRK,4.33918423515751,5.8947428101657,9.04629865488718,9.32241480009895,9.55296851757579,9.69152507064669,9.72008113300307,9.66873079756667,9.51172884595156,9.33452040978796,9.25808888988112,9.3486915768358
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Korea, Rep.",KOR,5.23300963159897,7.18619574340585,11.1013344090272,11.5286462883544,11.9632976922347,12.4027674173524,12.8593609995362,13.3379401871474,13.8522477555421,14.4185558323969,15.0601768953737,15.7909063699764
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kosovo,XKX,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kuwait,KWT,1.33138043204362,1.57956269622903,1.99708970158393,2.00653776083931,2.02590421441162,2.06020632678767,2.11889119564625,2.24197125256674,2.38246157206715,2.55047238400198,2.76383898297229,3.03580013070852
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Kyrgyz Republic,KGZ,5.02967720395117,5.50692663988464,4.42682952024331,4.35363677374459,4.31388813329185,4.3096179471684,4.33521990911076,4.35853830792861,4.41280746681642,4.49472797559656,4.60029458294692,4.72789363285432
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Lao PDR,LAO,3.52725108912305,3.57043033980127,3.70209562183432,3.726788454705,3.75556616845815,3.79095255910006,3.83632559599499,3.9121680505229,3.99155189064919,4.0751499644481,4.16398457065425,4.25917730044148
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Latvia,LVA,11.875295324832,14.9884823359467,18.4855345551464,18.7641371550534,19.0245076057834,19.2751008178728,19.5186001319535,19.6798708988556,19.833304033577,20.0436203206809,20.3365110033182,20.6873827668145
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Lebanon,LBN,5.2599602432213,5.69962667632635,6.29504735270451,6.2546816208864,6.23819765933562,6.25790203678492,6.32731323968516,6.51996840763739,6.74623605425308,7.00236813439294,7.27329163283236,7.54904625266191
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Lesotho,LSO,4.24581818779431,4.0773237360808,4.72045944980208,4.7517263078699,4.7764144479007,4.79322908128185,4.80145661457557,4.83911075984444,4.87264371509141,4.90108749682213,4.92582582526063,4.94881780782719
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Liberia,LBR,3.29715325119755,3.47131919889231,3.31626360349108,3.27626141323547,3.23286728397532,3.19763294281508,3.1763348486102,3.19646410439377,3.22270771332556,3.25343179968014,3.28569397416521,3.3184773812346
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Libya,LBY,3.11164184056433,3.76478356875868,4.19671164456348,4.20654789215222,4.21107341986849,4.21974911494542,4.23868258257814,4.27654146646371,4.32917411518854,4.39204025898401,4.45823887797361,4.52581552348525
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Lithuania,LTU,10.8785766368554,13.9085777501479,17.5653004164555,17.8460388742829,18.1221322900403,18.4012637401283,18.6855532968607,18.9684439517892,19.3009523394487,19.7050331564608,20.1584127130225,20.6179799426145
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Luxembourg,LUX,13.3973823374569,14.073739460632,13.955714057388,13.9397238804424,13.942605426128,13.9610038303674,13.9942231107331,14.042301955585,14.1067054112956,14.1831541841472,14.2749488817321,14.3907613366604
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Macao SAR, China",MAC,6.52602615413254,7.38740760480806,7.01048595579051,7.30321839447272,7.66853952044782,8.09850086749078,8.59097967894899,9.16411568510988,9.79801954753166,10.4842029270023,11.2117355900975,11.9714785126322
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Madagascar,MDG,3.02517546679854,2.96583848371065,2.82544119019312,2.81524139305923,2.80916265247697,2.81425668489821,2.83405342094986,2.8782491784287,2.93018379921372,2.98671712579162,3.04406412815873,3.10069496181036
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Malawi,MWI,3.10358870753363,3.12249131248521,2.65668991315733,2.6596622567593,2.6604418911307,2.6531239164834,2.63602874191049,2.64748090714811,2.64901419316458,2.64543493031032,2.64202417908193,2.64154348113367
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Malaysia,MYS,3.68066266204262,3.91504672902434,5.11447103742671,5.3117929018557,5.52585854596722,5.7486082364305,5.97557487601484,6.20310400110752,6.4339520211868,6.67175462547886,6.92077130929584,7.18368371697719
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Maldives,MDV,2.78950340117764,3.76380646962398,4.4155639364512,4.27553324589603,4.14227381115659,4.02675769801041,3.93897761120209,3.85878800114403,3.77838928932599,3.70334460612454,3.64100023919255,3.59341700213119
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mali,MLI,3.82585004129628,3.29931772369934,2.70939161138,2.6643456088978,2.61527549119889,2.56962620172392,2.53096289200998,2.52190274406259,2.51491565396871,2.50722975755683,2.49512781824385,2.47715242133496
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Malta,MLT,10.4863058160573,12.4038156206735,16.2194707383521,16.8417459086933,17.52219283775,18.1891087106605,18.7912141138807,19.3791748166119,19.887288694846,20.3493242997122,20.8171727539444,21.3238574725451
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mauritania,MRT,3.07700853247186,3.22942690323505,3.14445869671054,3.13636247135143,3.12773248628551,3.12048449005011,3.11620415782217,3.1231168337083,3.13071356685355,3.14111215805009,3.15624381310632,3.17786813567794
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mauritius,MUS,4.70949020142669,6.14118947470563,8.01211753045369,8.44236243187011,8.91081459107955,9.41412727511323,9.95405953046395,10.4430347144901,10.951689167014,11.4741730686522,11.99872722633,12.520129457574
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mexico,MEX,4.29972400839178,5.15091606058634,6.24420542366424,6.3433942457313,6.44976025304518,6.57479338977563,6.7247161862432,6.8733203249054,7.04077048486791,7.22368498087198,7.41666060424488,7.61810383432982
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,"Micronesia, Fed. Sts.",FSM,3.50879014755818,3.6489078415672,3.21894635089415,3.24383288997761,3.29286483016445,3.35889656199393,3.44184765140732,3.62110420541669,3.80678096878673,3.99680397727273,4.19276896718359,4.39042626257357
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Moldova,MDA,8.29155179032996,9.42127577356997,10.141832983425,10.080626957894,9.99528541637676,9.96259396618114,10.0489596383914,10.4160123600317,10.909198844048,11.4695563413512,12.0131191070183,12.4930248492611
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Monaco,MCO,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mongolia,MNG,4.1269695922203,3.69084573486976,3.8212709462774,3.82596652810318,3.82772380092797,3.83795425202067,3.86434408036982,3.92083534552822,3.99381974226874,4.08353878726245,4.18933345157011,4.31230916117854
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Montenegro,MNE,8.24403823076998,11.5674287232361,13.0417259743791,13.1498182689619,13.3014552682627,13.5100415705862,13.7829448956546,14.1418924089379,14.547702780438,14.9749366447439,15.3891720688486,15.769521037598
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Morocco,MAR,3.93625917879064,5.27058039370377,6.17201840298655,6.18338001137119,6.20138633917851,6.25950413421339,6.37665969114636,6.53805300150887,6.7533480761148,7.0129048211122,7.30045477092159,7.60664427741004
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Mozambique,MOZ,3.63215056687722,3.33414314546351,3.00476767043332,2.98784555025962,2.96428646180443,2.93481470936584,2.89994061830185,2.90146891451932,2.89833319941368,2.8907644574499,2.87844616926622,2.86182547131403
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Myanmar,MMR,3.98068725881784,4.49291830870236,4.86392035617063,4.91453990554736,4.97128699833535,5.05272831966076,5.16851457210366,5.35298376944599,5.56105787656383,5.78464193257209,6.01170459957569,6.23608798414991
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Namibia,NAM,3.43979538071261,3.23653954064788,4.05383600300088,3.97961894182705,3.90117250531451,3.82089034904635,3.74132145436701,3.70446861890618,3.66889158685492,3.63603168074514,3.60805442307769,3.58584834930861
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nauru,NRU,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nepal,NPL,3.52953255135892,3.76557728526372,5.14039307398113,5.24759511808499,5.34315510766829,5.4388322178811,5.54055629253211,5.60040256118883,5.6646874040199,5.72767077569198,5.78256761664542,5.82814699537437
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Netherlands,NLD,12.7281388435548,13.5820825422882,15.888955277311,16.3940104241108,16.9250017009527,17.4415449959725,17.9201887959494,18.371661289672,18.7921320210439,19.1961926333387,19.6053197232518,20.0348213864685
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,New Caledonia,NCL,4.93319086981026,5.54658050619278,7.35020657138189,7.61894165806647,7.90071222591412,8.17512577547537,8.43745964989947,8.68956311476307,8.93162547357027,9.17415792537671,9.42670203359859,9.69814149311028
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,New Zealand,NZL,11.1229213824374,11.8164321887619,13.2889294037719,13.5928129105864,13.9413944625613,14.2994009668689,14.6471624858165,14.9998551273645,15.3294510418257,15.6524245271741,15.9939561741085,16.368309038572
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nicaragua,NIC,3.19674397630345,3.79194216481875,4.56093886555721,4.57936998518686,4.60159964845936,4.65372812190539,4.75029084528316,4.88383993969518,5.05229100279004,5.24749744838026,5.45799237399973,5.67749919466276
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Niger,NER,2.29585636043994,2.44011480505283,2.52222554488913,2.53848086086087,2.55260931240722,2.56487218751967,2.57546085043029,2.58428601788329,2.59076059297535,2.59500788269853,2.59671142648349,2.59609303958037
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Nigeria,NGA,2.88125134895699,2.81667366541044,2.75369422293876,2.76013710892396,2.75866590358119,2.75004836315973,2.73554809053068,2.74600472259014,2.74913596585596,2.74737700532743,2.74308333819201,2.73806406007727
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,North Macedonia,MKD,7.2044876637338,9.89119916808325,11.756937437967,11.9037081818348,12.0599672361248,12.2594121115135,12.5201988334693,12.8589162621237,13.2498333330131,13.6701813815648,14.0854223673228,14.4772854033889
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Norway,NOR,16.3559544509022,15.25643496074,15.1103705694648,15.4039853529593,15.7314711912991,16.0400523893654,16.3030334033612,16.5942194449041,16.8349720164506,17.0492221563211,17.272665921403,17.5265774017425
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Oman,OMN,2.28627588829028,2.43256864169018,2.58173521150328,2.47556552561457,2.38216789922243,2.31554456379772,2.27947193432549,2.30645119160282,2.34472113585979,2.39278695625796,2.44858980507684,2.51101216341279
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Pakistan,PAK,3.90201869295739,3.99602432362632,4.26411507605529,4.28429969738007,4.2987233882095,4.30696215667542,4.30997836380842,4.31549556123609,4.31383605287132,4.31277431133756,4.32240770888347,4.34864966345144
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Palau,PLW,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Panama,PAN,4.75396679896412,5.51966651794789,6.90349854565635,7.05177336601403,7.20828276323285,7.37587387223894,7.5572882058074,7.72794085226988,7.90991653048905,8.10473107966757,8.31383660521204,8.53879247709088
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Papua New Guinea,PNG,2.85332742324851,3.07863791998955,3.30187940658433,3.28184991719959,3.26301490168687,3.25108566668303,3.24954750224322,3.31345365110843,3.37922236880715,3.44526925145617,3.50942541848557,3.57157866123976
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Paraguay,PRY,4.05307079697354,4.35805448638892,5.33109061354195,5.4500395779001,5.58057753619048,5.72378986005965,5.88099772363908,6.056856783368,6.24101052837597,6.43021500946081,6.6208246955556,6.81098369192004
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Peru,PER,4.00669498894793,4.86277673150026,6.39834832303285,6.59845795482721,6.81826051714203,7.05983600926795,7.32560298678726,7.55773647262604,7.81080245454995,8.08839279183076,8.39347886047604,8.72526306831275
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Philippines,PHL,3.14241533586794,3.26838651085618,4.21890539975651,4.30572595377332,4.39712513877222,4.49495151589232,4.60214198335079,4.76295798333335,4.93709669099723,5.12256876829946,5.31499621959123,5.51164864430335
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Poland,POL,9.95034192792434,12.023876114064,13.7781160315932,14.1871236499479,14.6752083001326,15.1989196213319,15.7314838621437,16.3376979048267,16.9312953486375,17.5178167625452,18.1168972529604,18.739450673668
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Portugal,PRT,13.6751412075392,16.2684449775821,19.0425266193476,19.4519388944348,19.882696692769,20.3216999298728,20.761941797688,21.1616092062225,21.5577020889385,21.9538575375873,22.3566907196201,22.7722689742347
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Puerto Rico,PRI,9.88521236476516,11.3686984867646,13.6190991726924,14.1848094708661,14.7923802848175,15.4139709850849,16.0372057756309,16.8752941176471,17.7453252823385,18.6748502103569,19.6970895286302,20.827354638634
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Qatar,QAT,1.30595996455851,1.74490436614298,0.748033642603092,0.799062690538976,0.861089783589135,0.927944801516592,0.998515030927112,1.10884901675499,1.23212298622101,1.3700703387375,1.52316311725676,1.68913935286855
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Romania,ROU,10.4051060148596,13.608822238943,15.8245199643325,16.0438362308206,16.3187927983702,16.6299592781568,16.9654269034024,17.4217132153836,17.8817265866248,18.3387013938296,18.79006578875,19.23091497831
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Russian Federation,RUS,10.3071721717904,12.443577794659,13.1026163158361,13.1398524876319,13.2248963244175,13.3624112578951,13.5538761073839,13.8839771635639,14.2633149894054,14.6747083203719,15.0941252324225,15.5089282475307
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Rwanda,RWA,2.17025052676117,3.63969763846063,2.58523698499543,2.59905686176245,2.61747218573343,2.64640735932181,2.6889092345364,2.76580499479511,2.84976305323087,2.9381960775388,3.02825306190331,3.11930358182668
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Samoa,WSM,3.83285320295081,4.40173340823369,4.91761304535683,4.83899116289155,4.7331662454514,4.61708138028623,4.50667397022422,4.59197573701391,4.68845980588886,4.80041197375197,4.93310400462716,5.08381465017589
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sao Tome and Principe,STP,3.6079490642485,3.28478441185981,2.97197112570723,2.94526655485022,2.92003102760728,2.89791393113878,2.8791768622889,2.89331634084054,2.90744559102608,2.9256781090661,2.96015921434417,3.00831816169995
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Saudi Arabia,SAU,2.81713106339649,3.00109713377129,2.9551264524187,2.93999979420269,2.93661742112246,2.9607527633135,3.02071397622026,3.10632221046056,3.20753529655243,3.31408802294981,3.41288659962284,3.4984589906707
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Senegal,SEN,2.96991605577609,3.20435316982478,3.13961175892634,3.11707393945616,3.09293198351756,3.0732135526446,3.06146897967748,3.06522438128101,3.07451900549666,3.08682370101833,3.09847644542059,3.10814780785893
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Serbia,SRB,9.58598607327945,13.5367093271903,15.0488371576733,15.4437085974193,15.9089166112787,16.418954250643,16.9566837152719,17.4231584206982,17.8947516248703,18.3457926916963,18.7405034178861,19.0585016934728
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Seychelles,SYC,6.63029615984129,7.61889476023507,7.52696363854032,7.43712406725484,7.33015686064564,7.25999044738099,7.24062414453874,7.31271549472364,7.42911074695596,7.59454560435034,7.80548194681754,8.06633654305673
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sierra Leone,SLE,3.62306997468842,3.2923473101409,3.05804754968583,3.05266943400634,3.03981027919512,3.01807799977997,2.98779377443734,2.98988897824674,2.98184277250364,2.96655621131612,2.94773662314425,2.92733480815993
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Singapore,SGP,5.59873559807844,6.38369905613756,7.64532349881337,8.04432313320704,8.40421897865629,8.72100283298218,9.04725050392049,9.76849580287652,10.5798994786478,11.4633801933791,12.3931294823164,13.351544234508
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sint Maarten (Dutch part),SXM,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Slovak Republic,SVK,10.2364698643498,11.2915942718297,12.716102997687,12.996166680425,13.303183027542,13.6510571483253,14.0470684896325,14.5481176691744,15.0810220451917,15.629246504777,16.1723638921146,16.6991352180235
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Slovenia,SVN,10.640274520847,14.1100569145407,16.9008042268098,17.105747190113,17.3364968421461,17.6320733179588,18.0132860241821,18.4807709923296,19.0233163840774,19.6068796541788,20.1862840087865,20.7377516789822
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Solomon Islands,SLB,2.80633348938326,2.85586196869093,3.39026556680166,3.43198522469576,3.46591147765938,3.49561132317797,3.52252792985784,3.54757053974732,3.57242244579342,3.59895045928894,3.63080993038459,3.67092551289592
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Somalia,SOM,2.93939509697593,2.62943328718948,2.71361370412694,2.73778394767395,2.76133080510645,2.78173433471637,2.79783558998669,2.82890382919737,2.85368354175379,2.87331094294556,2.88920381236561,2.90213652083888
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,South Africa,ZAF,3.96682828490226,4.51573382392538,4.79969571428063,4.84481208573682,4.89312325017391,4.95295318918134,5.02943260387525,5.12221949305616,5.21917862619865,5.31800500542302,5.41525560779033,5.50943883602892
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,South Sudan,SSD,2.81330067619787,3.07989780936653,3.35898800278597,3.38460431047192,3.40423764864146,3.41354899345137,3.41203498655892,3.42229756737999,3.41576478198637,3.39848287985152,3.37680513659551,3.3527713071386
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Spain,ESP,13.3904384985406,16.6669222305663,17.3290574510707,17.642792457609,17.9808804732865,18.3192777362399,18.6468349302748,18.9105406468308,19.1458487271796,19.3785075224995,19.6478229478216,19.9776116999208
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sri Lanka,LKA,5.47194633105259,6.21964435179978,7.78118603542212,8.17024633996669,8.58277138810996,8.99442485322782,9.39190962399274,9.76846627621268,10.1235931486662,10.4732197537841,10.838805756947,11.2328586848264
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,St. Lucia,LCA,7.38008984205188,7.46575298764109,8.63487216880099,8.77517747359125,8.92329012523026,9.07647956207655,9.23316548128133,9.4154112784962,9.60465090575505,9.80653035642617,10.0350128562832,10.2958715221618
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,St. Vincent and the Grenadines,VCT,6.17673328123256,6.82847175833148,8.3477971860113,8.51754507308526,8.72751376332603,8.97015460082123,9.24158023967457,9.33317497875917,9.45213836306191,9.58978686338024,9.7405709428605,9.90986118622679
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sudan,SDN,2.9228111153741,3.06035395397583,3.30177802736042,3.33620003192261,3.37078512268511,3.40645571718422,3.44381081640338,3.48952162270705,3.53520683416771,3.58116052825144,3.62731732647738,3.67412129645974
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Suriname,SUR,4.74889428582711,5.49146510556345,6.25753252650048,6.34555515524393,6.43569874162009,6.52444634023348,6.60904276723486,6.70770134964807,6.8049556876823,6.90636990225525,7.01512972760986,7.13496706623573
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Sweden,SWE,17.8237370940768,17.3036849050401,18.5013061559929,18.8097596389827,19.1200971177424,19.3946718219141,19.6085182207794,19.8401953150298,19.9914163662092,20.0955249278002,20.1985696235664,20.3288061061869
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Switzerland,CHE,14.5870623015518,15.2680779774127,17.0997517134202,17.3301938108984,17.5721104695372,17.8004465511951,17.9973302879733,18.2289036991655,18.4308671298436,18.6232165647717,18.8379960576695,19.0975411751085
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Syrian Arab Republic,SYR,3.02127457512837,3.34054644830054,3.50703675181667,3.6044629895137,3.71479658181509,3.84393730414627,3.99178592828478,4.1457610184606,4.31835461571047,4.50312442147583,4.69185510249333,4.87442243600212
Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS,Tajikistan,TJK,3.83516528023129,3.60044598582993,3.20116505207528,3.11851613398884,3.04964075273125,2.99156665353582,2.94489206801775,2.95910039026596,2.98271403520705,3.02188755207627,3.0859612115329,3.17975768651486
